,sepal_length,sepal_width,petal_length,petal_width,species,Cluster
0,5.1,3.5,1.4,0.2,Iris-setosa,Cluster 0
1,4.9,3.0,1.4,0.2,Iris-setosa,Cluster 0
2,4.7,3.2,1.3,0.2,Iris-setosa,Cluster 0
3,4.6,3.1,1.5,0.2,Iris-setosa,Cluster 0
4,5.0,3.6,1.4,0.2,Iris-setosa,Cluster 0
5,5.4,3.9,1.7,0.4,Iris-setosa,Cluster 0
6,4.6,3.4,1.4,0.3,Iris-setosa,Cluster 0
7,5.0,3.4,1.5,0.2,Iris-setosa,Cluster 0
8,4.4,2.9,1.4,0.2,Iris-setosa,Cluster 0
9,4.9,3.1,1.5,0.1,Iris-setosa,Cluster 0
10,5.4,3.7,1.5,0.2,Iris-setosa,Cluster 0
11,4.8,3.4,1.6,0.2,Iris-setosa,Cluster 0
12,4.8,3.0,1.4,0.1,Iris-setosa,Cluster 0
13,4.3,3.0,1.1,0.1,Iris-setosa,Cluster 0
14,5.8,4.0,1.2,0.2,Iris-setosa,Cluster 0
15,5.7,4.4,1.5,0.4,Iris-setosa,Cluster 0
16,5.4,3.9,1.3,0.4,Iris-setosa,Cluster 0
17,5.1,3.5,1.4,0.3,Iris-setosa,Cluster 0
18,5.7,3.8,1.7,0.3,Iris-setosa,Cluster 0
19,5.1,3.8,1.5,0.3,Iris-setosa,Cluster 0
20,5.4,3.4,1.7,0.2,Iris-setosa,Cluster 0
21,5.1,3.7,1.5,0.4,Iris-setosa,Cluster 0
22,4.6,3.6,1.0,0.2,Iris-setosa,Cluster 0
23,5.1,3.3,1.7,0.5,Iris-setosa,Cluster 0
24,4.8,3.4,1.9,0.2,Iris-setosa,Cluster 0
25,5.0,3.0,1.6,0.2,Iris-setosa,Cluster 0
26,5.0,3.4,1.6,0.4,Iris-setosa,Cluster 0
27,5.2,3.5,1.5,0.2,Iris-setosa,Cluster 0
28,5.2,3.4,1.4,0.2,Iris-setosa,Cluster 0
29,4.7,3.2,1.6,0.2,Iris-setosa,Cluster 0
30,4.8,3.1,1.6,0.2,Iris-setosa,Cluster 0
31,5.4,3.4,1.5,0.4,Iris-setosa,Cluster 0
32,5.2,4.1,1.5,0.1,Iris-setosa,Cluster 0
33,5.5,4.2,1.4,0.2,Iris-setosa,Cluster 0
34,4.9,3.1,1.5,0.1,Iris-setosa,Cluster 0
35,5.0,3.2,1.2,0.2,Iris-setosa,Cluster 0
36,5.5,3.5,1.3,0.2,Iris-setosa,Cluster 0
37,4.9,3.1,1.5,0.1,Iris-setosa,Cluster 0
38,4.4,3.0,1.3,0.2,Iris-setosa,Cluster 0
39,5.1,3.4,1.5,0.2,Iris-setosa,Cluster 0
40,5.0,3.5,1.3,0.3,Iris-setosa,Cluster 0
41,4.5,2.3,1.3,0.3,Iris-setosa,Cluster 0
42,4.4,3.2,1.3,0.2,Iris-setosa,Cluster 0
43,5.0,3.5,1.6,0.6,Iris-setosa,Cluster 0
44,5.1,3.8,1.9,0.4,Iris-setosa,Cluster 0
45,4.8,3.0,1.4,0.3,Iris-setosa,Cluster 0
46,5.1,3.8,1.6,0.2,Iris-setosa,Cluster 0
47,4.6,3.2,1.4,0.2,Iris-setosa,Cluster 0
48,5.3,3.7,1.5,0.2,Iris-setosa,Cluster 0
49,5.0,3.3,1.4,0.2,Iris-setosa,Cluster 0
50,7.0,3.2,4.7,1.4,Iris-versicolor,Cluster 3
51,6.4,3.2,4.5,1.5,Iris-versicolor,Cluster 3
52,6.9,3.1,4.9,1.5,Iris-versicolor,Cluster 3
53,5.5,2.3,4.0,1.3,Iris-versicolor,Cluster 2
54,6.5,2.8,4.6,1.5,Iris-versicolor,Cluster 3
55,5.7,2.8,4.5,1.3,Iris-versicolor,Cluster 2
56,6.3,3.3,4.7,1.6,Iris-versicolor,Cluster 3
57,4.9,2.4,3.3,1.0,Iris-versicolor,Cluster 2
58,6.6,2.9,4.6,1.3,Iris-versicolor,Cluster 3
59,5.2,2.7,3.9,1.4,Iris-versicolor,Cluster 2
60,5.0,2.0,3.5,1.0,Iris-versicolor,Cluster 2
61,5.9,3.0,4.2,1.5,Iris-versicolor,Cluster 2
62,6.0,2.2,4.0,1.0,Iris-versicolor,Cluster 2
63,6.1,2.9,4.7,1.4,Iris-versicolor,Cluster 3
64,5.6,2.9,3.6,1.3,Iris-versicolor,Cluster 2
65,6.7,3.1,4.4,1.4,Iris-versicolor,Cluster 3
66,5.6,3.0,4.5,1.5,Iris-versicolor,Cluster 2
67,5.8,2.7,4.1,1.0,Iris-versicolor,Cluster 2
68,6.2,2.2,4.5,1.5,Iris-versicolor,Cluster 3
69,5.6,2.5,3.9,1.1,Iris-versicolor,Cluster 2
70,5.9,3.2,4.8,1.8,Iris-versicolor,Cluster 3
71,6.1,2.8,4.0,1.3,Iris-versicolor,Cluster 2
72,6.3,2.5,4.9,1.5,Iris-versicolor,Cluster 3
73,6.1,2.8,4.7,1.2,Iris-versicolor,Cluster 3
74,6.4,2.9,4.3,1.3,Iris-versicolor,Cluster 3
75,6.6,3.0,4.4,1.4,Iris-versicolor,Cluster 3
76,6.8,2.8,4.8,1.4,Iris-versicolor,Cluster 3
77,6.7,3.0,5.0,1.7,Iris-versicolor,Cluster 3
78,6.0,2.9,4.5,1.5,Iris-versicolor,Cluster 3
79,5.7,2.6,3.5,1.0,Iris-versicolor,Cluster 2
80,5.5,2.4,3.8,1.1,Iris-versicolor,Cluster 2
81,5.5,2.4,3.7,1.0,Iris-versicolor,Cluster 2
82,5.8,2.7,3.9,1.2,Iris-versicolor,Cluster 2
83,6.0,2.7,5.1,1.6,Iris-versicolor,Cluster 3
84,5.4,3.0,4.5,1.5,Iris-versicolor,Cluster 2
85,6.0,3.4,4.5,1.6,Iris-versicolor,Cluster 3
86,6.7,3.1,4.7,1.5,Iris-versicolor,Cluster 3
87,6.3,2.3,4.4,1.3,Iris-versicolor,Cluster 3
88,5.6,3.0,4.1,1.3,Iris-versicolor,Cluster 2
89,5.5,2.5,4.0,1.3,Iris-versicolor,Cluster 2
90,5.5,2.6,4.4,1.2,Iris-versicolor,Cluster 2
91,6.1,3.0,4.6,1.4,Iris-versicolor,Cluster 3
92,5.8,2.6,4.0,1.2,Iris-versicolor,Cluster 2
93,5.0,2.3,3.3,1.0,Iris-versicolor,Cluster 2
94,5.6,2.7,4.2,1.3,Iris-versicolor,Cluster 2
95,5.7,3.0,4.2,1.2,Iris-versicolor,Cluster 2
96,5.7,2.9,4.2,1.3,Iris-versicolor,Cluster 2
97,6.2,2.9,4.3,1.3,Iris-versicolor,Cluster 3
98,5.1,2.5,3.0,1.1,Iris-versicolor,Cluster 2
99,5.7,2.8,4.1,1.3,Iris-versicolor,Cluster 2
100,6.3,3.3,6.0,2.5,Iris-virginica,Cluster 1
101,5.8,2.7,5.1,1.9,Iris-virginica,Cluster 3
102,7.1,3.0,5.9,2.1,Iris-virginica,Cluster 1
103,6.3,2.9,5.6,1.8,Iris-virginica,Cluster 1
104,6.5,3.0,5.8,2.2,Iris-virginica,Cluster 1
105,7.6,3.0,6.6,2.1,Iris-virginica,Cluster 1
106,4.9,2.5,4.5,1.7,Iris-virginica,Cluster 2
107,7.3,2.9,6.3,1.8,Iris-virginica,Cluster 1
108,6.7,2.5,5.8,1.8,Iris-virginica,Cluster 1
109,7.2,3.6,6.1,2.5,Iris-virginica,Cluster 1
110,6.5,3.2,5.1,2.0,Iris-virginica,Cluster 3
111,6.4,2.7,5.3,1.9,Iris-virginica,Cluster 3
112,6.8,3.0,5.5,2.1,Iris-virginica,Cluster 1
113,5.7,2.5,5.0,2.0,Iris-virginica,Cluster 3
114,5.8,2.8,5.1,2.4,Iris-virginica,Cluster 3
115,6.4,3.2,5.3,2.3,Iris-virginica,Cluster 1
116,6.5,3.0,5.5,1.8,Iris-virginica,Cluster 1
117,7.7,3.8,6.7,2.2,Iris-virginica,Cluster 1
118,7.7,2.6,6.9,2.3,Iris-virginica,Cluster 1
119,6.0,2.2,5.0,1.5,Iris-virginica,Cluster 3
120,6.9,3.2,5.7,2.3,Iris-virginica,Cluster 1
121,5.6,2.8,4.9,2.0,Iris-virginica,Cluster 3
122,7.7,2.8,6.7,2.0,Iris-virginica,Cluster 1
123,6.3,2.7,4.9,1.8,Iris-virginica,Cluster 3
124,6.7,3.3,5.7,2.1,Iris-virginica,Cluster 1
125,7.2,3.2,6.0,1.8,Iris-virginica,Cluster 1
126,6.2,2.8,4.8,1.8,Iris-virginica,Cluster 3
127,6.1,3.0,4.9,1.8,Iris-virginica,Cluster 3
128,6.4,2.8,5.6,2.1,Iris-virginica,Cluster 1
129,7.2,3.0,5.8,1.6,Iris-virginica,Cluster 1
130,7.4,2.8,6.1,1.9,Iris-virginica,Cluster 1
131,7.9,3.8,6.4,2.0,Iris-virginica,Cluster 1
132,6.4,2.8,5.6,2.2,Iris-virginica,Cluster 1
133,6.3,2.8,5.1,1.5,Iris-virginica,Cluster 3
134,6.1,2.6,5.6,1.4,Iris-virginica,Cluster 3
135,7.7,3.0,6.1,2.3,Iris-virginica,Cluster 1
136,6.3,3.4,5.6,2.4,Iris-virginica,Cluster 1
137,6.4,3.1,5.5,1.8,Iris-virginica,Cluster 1
138,6.0,3.0,4.8,1.8,Iris-virginica,Cluster 3
139,6.9,3.1,5.4,2.1,Iris-virginica,Cluster 1
140,6.7,3.1,5.6,2.4,Iris-virginica,Cluster 1
141,6.9,3.1,5.1,2.3,Iris-virginica,Cluster 1
142,5.8,2.7,5.1,1.9,Iris-virginica,Cluster 3
143,6.8,3.2,5.9,2.3,Iris-virginica,Cluster 1
144,6.7,3.3,5.7,2.5,Iris-virginica,Cluster 1
145,6.7,3.0,5.2,2.3,Iris-virginica,Cluster 1
146,6.3,2.5,5.0,1.9,Iris-virginica,Cluster 3
147,6.5,3.0,5.2,2.0,Iris-virginica,Cluster 3
148,6.2,3.4,5.4,2.3,Iris-virginica,Cluster 1
149,5.9,3.0,5.1,1.8,Iris-virginica,Cluster 3
